N	P	T_1	T_P	S_P	E_P
10000000	1	0.0066644	0.0066121	1.0079097412319837	1.0079097412319837
10000000	3	0.0053877	0.006753	0.7978231896934695	0.2659410632311565
10000000	5	0.0065339	0.0154056	0.4241249935088539	0.08482499870177078
10000000	7	0.0068304	0.0190239	0.3590430984183054	0.05129187120261506
10000000	9	0.0068068	0.011956	0.5693208430913349	0.06325787145459277
10000000	11	0.0068214	0.0150156	0.4542875409574043	0.04129886735976403
100000000	1	0.0250017	0.026911	0.9290513173051912	0.9290513173051912
100000000	3	0.0243975	0.019249	1.2674684399189569	0.42248947997298564
100000000	5	0.0247032	0.0294891	0.8377061354873495	0.1675412270974699
100000000	7	0.0242811	0.0259931	0.9341363669589238	0.13344805242270338
100000000	9	0.0246462	0.0259823	0.9485765309460671	0.10539739232734079
100000000	11	0.0242094	0.0275922	0.8774001348207102	0.07976364862006456
1000000000	1	0.2210769	0.2186364	1.011162368205843	1.011162368205843
1000000000	3	0.2205104	0.1377419	1.6008955880527276	0.5336318626842426
1000000000	5	0.2165594	0.148154	1.461718212130621	0.2923436424261242
1000000000	7	0.2297186	0.1834731	1.2520560234715608	0.17886514621022295
1000000000	9	0.2330164	0.1670965	1.3945019793951399	0.15494466437723775
1000000000	11	0.2202204	0.1587153	1.387518405597948	0.12613803687254072
