T W IO
10 3.76e-03 7.27e-04 3.65e-04

11 4.10e-03 8.72e-04 4.19e-04

12 4.37e-03 1.05e-03 4.94e-04

13 4.76e-03 1.27e-03 5.72e-04

14 5.08e-03 1.46e-03 6.31e-04

15 5.58e-03 1.73e-03 7.11e-04

16 6.02e-03 1.97e-03 8.61e-04

17 6.55e-03 2.26e-03 9.63e-04

18 7.00e-03 2.57e-03 1.04e-03

19 7.45e-03 2.84e-03 1.14e-03

20 8.18e-03 3.25e-03 1.29e-03

21 8.74e-03 3.54e-03 1.42e-03

22 9.26e-03 3.88e-03 1.47e-03

23 1.00e-02 4.37e-03 1.57e-03

24 1.08e-02 4.89e-03 1.71e-03

25 1.13e-02 5.18e-03 1.77e-03

26 1.22e-02 5.32e-03 1.94e-03

27 1.21e-02 5.34e-03 2.03e-03

28 1.36e-02 6.63e-03 2.09e-03

29 1.28e-02 5.52e-03 2.20e-03

30 1.47e-02 7.34e-03 2.26e-03

31 1.32e-02 5.54e-03 2.36e-03

32 1.36e-02 5.62e-03 2.41e-03

33 1.44e-02 5.90e-03 2.72e-03

34 1.43e-02 5.83e-03 2.64e-03

35 1.46e-02 5.89e-03 2.75e-03

36 1.52e-02 5.84e-03 2.97e-03

37 1.56e-02 6.03e-03 3.07e-03

38 1.61e-02 6.14e-03 3.16e-03

39 1.64e-02 6.25e-03 3.25e-03

40 1.70e-02 6.49e-03 3.39e-03

41 1.72e-02 6.38e-03 3.66e-03

42 1.75e-02 6.44e-03 3.69e-03

43 1.79e-02 6.57e-03 3.84e-03

44 1.85e-02 6.84e-03 3.96e-03

45 1.89e-02 6.66e-03 4.19e-03

46 1.96e-02 6.82e-03 4.28e-03

47 2.09e-02 6.87e-03 5.38e-03

48 2.06e-02 7.25e-03 4.51e-03

49 2.12e-02 7.29e-03 4.72e-03

50 2.12e-02 7.27e-03 4.86e-03

51 2.20e-02 7.61e-03 5.03e-03

52 2.26e-02 7.64e-03 5.16e-03

53 2.29e-02 7.62e-03 5.39e-03

54 2.36e-02 7.79e-03 5.57e-03

55 2.45e-02 7.98e-03 5.76e-03

56 2.52e-02 8.36e-03 5.96e-03

57 2.55e-02 8.27e-03 6.06e-03

58 2.61e-02 8.40e-03 6.32e-03

59 2.70e-02 8.60e-03 6.50e-03

60 2.70e-02 8.16e-03 6.82e-03

61 2.79e-02 8.66e-03 6.84e-03

62 2.88e-02 9.03e-03 7.06e-03

63 2.93e-02 8.88e-03 7.36e-03

64 2.96e-02 8.66e-03 7.52e-03

65 3.09e-02 9.37e-03 7.75e-03

66 3.18e-02 9.79e-03 7.88e-03

67 3.30e-02 1.04e-02 8.19e-03

68 3.30e-02 9.73e-03 8.46e-03

69 3.37e-02 9.90e-03 8.70e-03

70 3.42e-02 1.01e-02 8.76e-03

71 3.57e-02 1.03e-02 9.02e-03

72 3.62e-02 1.05e-02 9.31e-03

73 3.63e-02 1.04e-02 9.46e-03

74 3.70e-02 1.05e-02 9.66e-03

75 3.73e-02 1.02e-02 9.97e-03

76 3.91e-02 1.07e-02 1.02e-02

77 3.97e-02 1.12e-02 1.03e-02

78 4.73e-02 1.24e-02 1.50e-02

79 4.12e-02 1.15e-02 1.10e-02

80 4.25e-02 1.16e-02 1.13e-02

81 4.25e-02 1.15e-02 1.14e-02

82 4.33e-02 1.14e-02 1.16e-02

83 4.42e-02 1.17e-02 1.20e-02

84 4.55e-02 1.25e-02 1.23e-02

85 4.61e-02 1.22e-02 1.28e-02

86 4.78e-02 1.25e-02 1.30e-02

87 4.82e-02 1.32e-02 1.31e-02

88 4.90e-02 1.32e-02 1.32e-02

89 4.99e-02 1.31e-02 1.36e-02

90 5.16e-02 1.39e-02 1.41e-02

91 5.20e-02 1.39e-02 1.44e-02

92 5.22e-02 1.33e-02 1.45e-02

93 5.26e-02 1.34e-02 1.47e-02

94 5.39e-02 1.40e-02 1.50e-02

95 5.49e-02 1.37e-02 1.55e-02

96 5.55e-02 1.41e-02 1.55e-02

97 5.82e-02 1.56e-02 1.61e-02

98 5.91e-02 1.50e-02 1.64e-02

99 5.97e-02 1.55e-02 1.68e-02

100 6.04e-02 1.59e-02 1.68e-02

